From,To,Type,Total Distance (Round Trip),Total Time (hours),Delay (Total),Month,Day,
London,Indonesia,Plane,"11,728",9.15,,Aug,1,
Indonesia,London,Plane,11728,9.15,,Aug,15,
London,Barcelona,Plane,1138,1.1,,Sep,21,
Barcelona,London,Plane,1138,1.1,,Sep,26,
London,Edinburgh,Train,531,4.5,,Oct,21,LNER
Edinburgh,London,Train,531,4.5,,Oct,23,LNER
London,Newcastle,Train,399,3,,Nov,18,LNER
Newcastle,London,Train,399,3,,Nov,20,LNER
London,Edinburgh,Train,531,4.5,1.1,Dec,9,LNER
Edinburgh,London,Train,531,4.5,,Dec,10,LNER
London,Geneva,Plane,716,1.5,,Dec,18,EasyJet
Geneva,London,Plane,716,1.5,,Dec,30,EasyJet
London,Edinburgh,Train,531,4.5,,Jan,20,LNER
Edinburgh,London,Train,531,4.5,,Jan,23,LNER
London,Ludlow,Train,202,2,,Feb,17,GWR
Ludlow,London,Train,202,2,,Feb,19,GWR
London,Edinburgh,Train,531,4.5,,Mar,9,LNER
Edinburgh,London,Train,531,4.5,,Mar,12,LNER
London,Madrid,Plane,1262,2.5,,Mar,24,
Madrid,London,Plane,1262,2.5,,Mar,26,
London,Edinburgh,Train,531,4.5,,Mar,31,LNER
Edinburgh,London,Train,531,4.5,,Apr,2,LNER
London,Cambridge,Train,80,1.1,,Apr,7,
Cambridge,London,Train,80,1.1,,Apr,8,
London,Leeds,Train,273,2.5,0.33,Apr,21,LNER
Manchester,London,Train,273,2.5,,Apr,23,
London,Edinburgh,Train,531,4.5,1,May,26,LNER
Edinburgh,London,Train,531,4.5,,May,28,LNER
London,Amsterdam,Plane,357,1.2,2,Jun,2,
Amsterdam,London,Plane,357,1.2,1,Jun,4,
London,Eindhoven,Plane,388,1,1,Jun,16,
Eindhoven,Maastricht,Train,87,1,,Jun,16,
Maastricht,Rotterdam,Train,198,2,,Jun,18,
Rotterdam,Amsterdam,Train,86,1,,Jun,19,
Amsterdam,London,Plane,357,1.2,,Jun,19,KLM
London,Geneva,Plane,746,1.5,24,Jun,26,EasyJet
Geneva,London,Plane,746,1.5,,Jul,3,EasyJet
London,Edinburgh,Train,531,4.5,0.5,Jul,21,LNER
Edinburgh,London,Train,531,4.5,,Jul,24,LNER
London,Amman,Plane,,,,Aug,29,
Amman,London,Plane,,,,Sep,9,
London,Lisbon,Plane,,,,Sep,24,
Lisbon,London,Plane,,,,Sep,29,
London,Edinburgh,Train,,,,Oct,5,LNER
Edinburgh,London,Train,,,,Oct,8,LNER
London,Newcastle,Train,399,3,0.5,Nov,10,LNER
Newcastle,London,Train,399,3,0.5,Nov,12,LNER
London,Edinburgh,Train,531,4.5,0.2,Nov,23,LNER
Edinburgh,London,Train,531,4.5,0.1,Nov,26,LNER
London,Edinburgh,Train,531,4.75,,Dec,7,LNER
Edinburgh,London,Train,531,4,1.75,Dec,10,LNER
London,Geneva,Plane,746,1.5,1,Dec,17,EasyJet
